sample_id,target,modality,official_seq_index,signed_importance,absolute_importance,mapping_status,token_id,char_start,char_end,raw_text_substring
06,regression,vision,15,-0.00474505266174674,0.00474505266174674,index_only,,,,
06,regression,vision,13,-0.004372599069029093,0.004372599069029093,index_only,,,,
06,regression,vision,17,-0.004358768928796053,0.004358768928796053,index_only,,,,
07,classification,text,21,0.032547906041145325,0.032547906041145325,verified_text,24935,87,103,enthusiastically
07,classification,text,26,0.027482736855745316,0.027482736855745316,verified_text,3652,128,135,growing
07,classification,text,23,0.024400711059570312,0.024400711059570312,verified_text,1996,114,117,the
07,classification,text,27,0.019961809739470482,0.019961809739470482,verified_text,1996,136,139,the
07,classification,text,16,0.01965009793639183,0.01965009793639183,verified_text,2654,66,68,28
07,classification,audio,24,0.0014149283524602652,0.0014149283524602652,index_only,,,,
07,classification,audio,22,0.0012285830453038216,0.0012285830453038216,index_only,,,,
07,classification,audio,47,0.00104300316888839,0.00104300316888839,index_only,,,,
07,classification,audio,26,0.0008169941720552742,0.0008169941720552742,index_only,,,,
07,classification,audio,23,0.0008069233153946698,0.0008069233153946698,index_only,,,,
07,classification,vision,34,0.0019093278096988797,0.0019093278096988797,index_only,,,,
07,classification,vision,35,0.0019093278096988797,0.0019093278096988797,index_only,,,,
07,classification,vision,33,0.0017792914295569062,0.0017792914295569062,index_only,,,,
07,classification,vision,42,0.0017587791662663221,0.0017587791662663221,index_only,,,,
07,classification,vision,43,0.0017587791662663221,0.0017587791662663221,index_only,,,,
07,regression,text,21,0.030494071543216705,0.030494071543216705,verified_text,24935,87,103,enthusiastically
07,regression,text,23,0.01951114647090435,0.01951114647090435,verified_text,1996,114,117,the
07,regression,text,15,0.018305109813809395,0.018305109813809395,verified_text,2281,57,65,November
07,regression,text,26,0.01663811504840851,0.01663811504840851,verified_text,3652,128,135,growing
07,regression,text,16,0.015987932682037354,0.015987932682037354,verified_text,2654,66,68,28
07,regression,audio,24,0.004262987524271011,0.004262987524271011,index_only,,,,
07,regression,audio,23,0.0030126632191240788,0.0030126632191240788,index_only,,,,
07,regression,audio,22,0.0027321286033838987,0.0027321286033838987,index_only,,,,
07,regression,audio,6,-0.0025134007446467876,0.0025134007446467876,index_only,,,,
07,regression,audio,38,-0.0024107731878757477,0.0024107731878757477,index_only,,,,
07,regression,vision,26,-0.0027729268185794353,0.0027729268185794353,index_only,,,,
07,regression,vision,27,-0.0027055523823946714,0.0027055523823946714,index_only,,,,
07,regression,vision,1,-0.002684126840904355,0.002684126840904355,index_only,,,,
07,regression,vision,23,-0.0025533470325171947,0.0025533470325171947,index_only,,,,
07,regression,vision,24,-0.0024656939785927534,0.0024656939785927534,index_only,,,,
08,classification,text,8,0.1050858274102211,0.1050858274102211,verified_text,5415,31,40,Universal
08,classification,text,10,0.0747695341706276,0.0747695341706276,verified_text,2882,48,53,Grand
08,classification,text,2,0.07277347147464752,0.07277347147464752,verified_text,7545,5,11,brings
08,classification,text,4,0.04016347602009773,0.04016347602009773,verified_text,2000,15,17,to
08,classification,text,5,0.03534572944045067,0.03534572944045067,verified_text,3892,18,25,tonight
08,classification,audio,8,-0.005785483401268721,0.005785483401268721,index_only,,,,
08,classification,audio,7,-0.0038701279554516077,0.0038701279554516077,index_only,,,,
08,classification,audio,10,-0.003786552930250764,0.003786552930250764,index_only,,,,
08,classification,audio,11,-0.0033282923977822065,0.0033282923977822065,index_only,,,,
08,classification,audio,9,-0.0027545613702386618,0.0027545613702386618,index_only,,,,
08,classification,vision,7,-0.0029419625643640757,0.0029419625643640757,index_only,,,,
08,classification,vision,3,-0.002857751678675413,0.002857751678675413,index_only,,,,
08,classification,vision,5,-0.00265216501429677,0.00265216501429677,index_only,,,,
08,classification,vision,6,-0.00265216501429677,0.00265216501429677,index_only,,,,
08,classification,vision,8,-0.0022987769916653633,0.0022987769916653633,index_only,,,,
08,regression,text,8,0.09593169391155243,0.09593169391155243,verified_text,5415,31,40,Universal
08,regression,text,10,0.05727647989988327,0.05727647989988327,verified_text,2882,48,53,Grand
08,regression,text,2,0.03393393009901047,0.03393393009901047,verified_text,7545,5,11,brings
08,regression,text,6,-0.031162342056632042,0.031162342056632042,verified_text,1010,25,26,","
08,regression,text,9,0.02642357163131237,0.02642357163131237,verified_text,2640,41,47,Design
08,regression,audio,8,-0.009304550476372242,0.009304550476372242,index_only,,,,
08,regression,audio,1,0.009109043516218662,0.009109043516218662,index_only,,,,
08,regression,audio,7,-0.007874250411987305,0.007874250411987305,index_only,,,,
08,regression,audio,5,-0.006462285295128822,0.006462285295128822,index_only,,,,
08,regression,audio,6,-0.006462284363806248,0.006462284363806248,index_only,,,,
08,regression,vision,7,-0.00866718776524067,0.00866718776524067,index_only,,,,
08,regression,vision,3,-0.008300401270389557,0.008300401270389557,index_only,,,,
08,regression,vision,8,-0.008127257227897644,0.008127257227897644,index_only,,,,
08,regression,vision,2,-0.007937896996736526,0.007937896996736526,index_only,,,,
08,regression,vision,5,-0.007796038407832384,0.007796038407832384,index_only,,,,
09,classification,text,7,0.07957073301076889,0.07957073301076889,verified_text,2025,12,15,not
09,classification,text,6,0.07568947970867157,0.07568947970867157,verified_text,2106,8,11,did
09,classification,text,16,0.05933019891381264,0.05933019891381264,verified_text,2025,48,51,not
09,classification,text,17,0.05749300867319107,0.05749300867319107,verified_text,16755,52,61,recommend
09,classification,text,14,0.0528753399848938,0.0528753399848938,verified_text,1045,40,41,I
09,classification,audio,5,-0.00010832242696778849,0.00010832242696778849,index_only,,,,
09,classification,audio,1,-7.400768663501367e-05,7.400768663501367e-05,index_only,,,,
09,classification,audio,2,-7.400768663501367e-05,7.400768663501367e-05,index_only,,,,
09,classification,audio,3,-7.400768663501367e-05,7.400768663501367e-05,index_only,,,,
09,classification,audio,4,-7.400768663501367e-05,7.400768663501367e-05,index_only,,,,
09,classification,vision,6,-0.00010509400453884155,0.00010509400453884155,index_only,,,,
09,classification,vision,5,-0.00010324431059416384,0.00010324431059416384,index_only,,,,
09,classification,vision,1,-9.741148824105039e-05,9.741148824105039e-05,index_only,,,,
09,classification,vision,2,-9.741148824105039e-05,9.741148824105039e-05,index_only,,,,
09,classification,vision,3,-9.741148824105039e-05,9.741148824105039e-05,index_only,,,,
09,regression,text,7,-0.2616245150566101,0.2616245150566101,verified_text,2025,12,15,not
09,regression,text,6,-0.24566584825515747,0.24566584825515747,verified_text,2106,8,11,did
09,regression,text,16,-0.18932901322841644,0.18932901322841644,verified_text,2025,48,51,not
09,regression,text,17,-0.18606257438659668,0.18606257438659668,verified_text,16755,52,61,recommend
09,regression,text,14,-0.1793065220117569,0.1793065220117569,verified_text,1045,40,41,I
09,regression,audio,1,0.0037066927179694176,0.0037066927179694176,index_only,,,,
09,regression,audio,2,0.0037066927179694176,0.0037066927179694176,index_only,,,,
09,regression,audio,3,0.0037066927179694176,0.0037066927179694176,index_only,,,,
09,regression,audio,4,0.0037066927179694176,0.0037066927179694176,index_only,,,,
09,regression,audio,5,0.0036721318028867245,0.0036721318028867245,index_only,,,,
09,regression,vision,15,-0.0031914841383695602,0.0031914841383695602,index_only,,,,
09,regression,vision,6,0.002641630358994007,0.002641630358994007,index_only,,,,
09,regression,vision,5,0.002430240623652935,0.002430240623652935,index_only,,,,
09,regression,vision,1,0.0023946715518832207,0.0023946715518832207,index_only,,,,
09,regression,vision,2,0.0023946715518832207,0.0023946715518832207,index_only,,,,
10,classification,text,30,0.06660042703151703,0.06660042703151703,verified_text,6659,121,129,terrible
10,classification,text,28,0.059171777218580246,0.059171777218580246,verified_text,2001,110,113,was
10,classification,text,29,0.048527635633945465,0.048527635633945465,verified_text,3492,114,120,pretty
10,classification,text,12,0.046320945024490356,0.046320945024490356,verified_text,2156,39,42,see
10,classification,text,25,0.03894967958331108,0.03894967958331108,verified_text,2021,97,100,but
10,classification,audio,24,-0.0020700159948319197,0.0020700159948319197,index_only,,,,
10,classification,audio,27,-0.0017926240107044578,0.0017926240107044578,index_only,,,,
10,classification,audio,25,-0.0017923691775649786,0.0017923691775649786,index_only,,,,
10,classification,audio,26,-0.0017070563044399023,0.0017070563044399023,index_only,,,,
10,classification,audio,10,-0.0016637295484542847,0.0016637295484542847,index_only,,,,
10,classification,vision,28,-0.001408666605129838,0.001408666605129838,index_only,,,,
10,classification,vision,30,-0.0013141912641003728,0.0013141912641003728,index_only,,,,
10,classification,vision,29,-0.0012856745161116123,0.0012856745161116123,index_only,,,,
10,classification,vision,27,-0.0012736296048387885,0.0012736296048387885,index_only,,,,
10,classification,vision,15,-0.0011266239453107119,0.0011266239453107119,index_only,,,,
10,regression,text,30,-0.16141816973686218,0.16141816973686218,verified_text,6659,121,129,terrible
10,regression,text,28,-0.13421466946601868,0.13421466946601868,verified_text,2001,110,113,was
10,regression,text,12,-0.11158420145511627,0.11158420145511627,verified_text,2156,39,42,see
10,regression,text,27,-0.09321382641792297,0.09321382641792297,verified_text,2028,106,109,one
